Module::CONTROL MODE,Module::ENGINE SPEED,Module::ENGINE STATUS,Module::BOOST,Module::MAP,Module::RPS,Methane Pump Status,Boost Over Pressure State,Engine Speed,Coolant Temperature,Fuel Trim Correction(B1),Fuel Trim Correction(B2),Vehicle Speed,Spark Timing,Intake Manifold Temperature,Throttle Valve Position,Intake Manifold Pressure,Accel. Pedal Position,Ambient Pressure,AirFuel Ratio(B1),AirFuel Ratio(B2),Exhaust Gas Temperature(B1),Exhaust Gas Temperature(B2),Target Air Fuel Ratio,Fuel Rail Pressure,Airflow,Spark Timing #1,Spark Timing #2,Spark Timing #3,Spark Timing #4,Spark Timing #5,Spark Timing #6,Engine Status,Engine Oil Temperature,Transmission Oil Temperature,Abs Engine Load,Calc.Engine Load,Knock Detect,Knock Retard Cyl. #1,Knock Retard Cyl. #2,Knock Retard Cyl. #3,Knock Retard Cyl. #4,Knock Retard Cyl. #5,Knock Retard Cyl. #6,Speed Out Limited,Motor Current Avg.,PWM Ducy

ᴹMODE,ᴹE/SPEED,ᴹE/STATE,ᴹBOOST,ᴹMAP,ᴹRPS,METH_STATUS,BOOST_OVER,E/SPEED,CLT,FTRM_B1,FTRM_B2,V/SPEED,S/TIMING,IAT,TPS,MAP,APS,BARO,AFR_B1,AFR_B2,EX/GAS_B1,EX/GAS_B2,AFR_CMD,FRP,AIRFLOW,S/TIMING_1,S/TIMING_2,S/TIMING_3,S/TIMING_4,S/TIMING_5,S/TIMING_6,E/STATE,EOT,TOT,E/LOAD_A,E/LOAD_C,KNK_D,KNK_1,KNK_2,KNK_3,KNK_4,KNK_5,KNK_6,SPEED/LTD,C_AVG,P_DUTY

-,rpm,-,bar,bar,V,-,-,rpm,℃,%,%,km/h,ca,℃,%,bar,%,bar,-,-,℃,℃,-,bar,mg/s,ca,ca,ca,ca,ca,ca,-,℃,℃,%,%,-,ca,ca,ca,ca,ca,ca,-,A,%

4,6319.00,3,0.97,0.99,0.00,1,0,5765,102,11,12,83,15.50,39,87,1,83,1,11.20,11.13,705,704,11.48,145,886,14.23,14.23,14.23,14.23,14.23,14.23,3,96,74,247,85,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,78.00

4,6473.00,3,0.82,0.77,0.00,1,0,5765,102,11,12,83,15.50,39,87,1,83,1,11.26,11.18,705,704,11.48,145,886,7.48,7.48,7.48,7.48,7.48,7.48,3,96,74,247,85,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,77.00

4,6308.00,3,0.79,0.78,0.00,1,0,5765,102,11,12,83,15.50,39,87,1,83,1,11.36,11.28,705,704,11.48,145,886,7.48,7.48,7.48,7.48,7.48,7.48,3,96,74,247,85,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,74.00

4,5443.00,3,1.15,1.18,0.00,1,0,5765,102,11,12,83,15.50,39,87,1,83,1,11.40,11.33,705,704,11.48,145,886,7.48,7.48,7.48,7.48,7.48,7.48,3,96,74,247,85,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,75.00

4,5053.00,3,1.30,1.30,0.00,1,0,4919,102,11,12,83,13.00,39,81,1,83,1,11.47,11.40,705,704,11.48,140,886,7.48,7.48,7.48,7.48,7.48,7.48,3,96,74,247,85,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,77.00

4,5021.00,3,1.27,1.29,0.00,1,0,4919,101,11,12,99,13.00,39,81,1,83,1,11.50,11.43,705,704,11.65,140,886,7.48,7.48,7.48,7.48,7.48,7.48,3,96,74,247,85,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,77.00

4,5081.00,3,1.28,1.30,0.00,1,0,4919,101,14,13,99,13.00,39,81,1,83,1,13.57,13.25,764,764,11.65,140,886,7.48,7.48,7.48,7.48,7.48,7.48,3,96,74,268,90,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,78.00

4,5173.00,3,1.29,1.30,0.00,1,0,4919,101,14,13,99,13.00,39,81,1,83,1,13.59,13.26,764,764,11.65,140,1072,7.48,7.48,7.48,7.48,7.48,7.48,3,96,74,268,90,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,79.00

4,5262.00,3,1.28,1.29,0.00,1,0,4919,101,14,13,99,13.00,39,81,1,83,1,13.60,13.27,764,764,11.65,140,1072,14.23,14.23,14.23,14.23,14.23,14.23,3,96,74,268,90,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,79.00

4,5352.00,3,1.27,1.29,0.00,1,0,4919,101,14,13,99,13.00,39,81,1,83,1,13.61,13.28,764,764,11.65,140,1072,14.23,14.23,14.23,14.23,14.23,14.23,3,96,74,268,90,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,79.00

4,5435.00,3,1.25,1.26,0.00,1,0,4919,101,14,13,99,13.00,39,81,1,83,1,13.61,13.29,764,764,11.65,140,1072,14.23,14.23,14.23,14.23,14.23,14.23,3,96,75,268,90,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,79.00

4,5524.00,3,1.27,1.26,0.00,1,0,5465,101,14,13,116,15.00,37,87,1,83,1,13.62,13.29,764,764,11.66,145,1072,14.23,14.23,14.23,14.23,14.23,14.23,3,96,75,268,90,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,79.00

4,5600.00,3,1.24,1.24,0.00,1,0,5465,101,3,6,116,15.00,37,87,1,83,1,12.03,12.04,812,790,11.66,145,1072,14.23,14.23,14.23,14.23,14.23,14.23,3,96,75,257,88,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,79.00

4,5679.00,3,1.23,1.25,0.00,1,0,5465,101,3,6,116,15.00,37,87,1,83,1,12.03,12.04,812,790,11.66,145,1072,14.23,14.23,14.23,14.23,14.23,14.23,3,96,75,257,88,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,79.00

4,5785.00,3,1.24,1.26,0.00,1,0,5465,101,3,6,116,15.00,37,87,1,83,1,12.03,12.05,812,790,11.66,145,1037,15.73,15.73,15.73,15.73,15.73,15.73,3,96,75,257,88,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,79.00

4,5869.00,3,1.23,1.25,0.00,1,0,5465,101,3,6,116,15.00,37,87,1,83,1,12.03,12.05,812,790,11.66,145,1037,15.73,15.73,15.73,15.73,15.73,15.73,3,96,75,257,88,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,79.00

4,5959.00,3,1.25,1.27,0.00,1,0,5465,101,3,6,116,15.00,37,87,1,83,1,12.04,12.05,812,790,11.66,145,1037,15.73,15.73,15.73,15.73,15.73,15.73,3,96,75,257,88,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,79.00

4,6046.00,3,1.24,1.27,0.00,1,0,6060,101,3,6,116,15.50,37,87,1,83,1,12.04,12.05,812,790,11.66,147,1037,15.73,15.73,15.73,15.73,15.73,15.73,3,96,75,257,88,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,79.00

4,6139.00,3,1.15,1.18,0.00,1,0,6060,102,3,6,129,15.50,36,87,1,83,1,12.04,12.05,812,790,11.31,147,1037,15.73,15.73,15.73,15.73,15.73,15.73,3,96,75,257,88,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,79.00

4,6229.00,3,1.12,1.13,0.00,1,0,6060,102,-1,0,129,15.50,36,87,1,83,1,11.97,11.91,842,840,11.31,147,1037,15.73,15.73,15.73,15.73,15.73,15.73,3,96,75,245,87,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,78.00

4,6323.00,3,1.05,1.05,0.00,1,0,6060,102,-1,0,129,15.50,36,87,1,83,1,12.00,11.94,842,840,11.31,147,948,15.73,15.73,15.73,15.73,15.73,15.73,3,96,75,245,87,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,77.00

4,6401.00,3,0.98,0.99,0.00,1,0,6060,102,-1,0,129,15.50,36,87,1,83,1,12.05,11.99,842,840,11.31,147,948,17.23,14.98,17.23,17.23,17.23,17.23,3,96,75,245,87,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,75.00

4,6004.00,3,1.14,1.14,0.00,1,0,6060,102,-1,0,129,15.50,36,87,1,83,1,12.07,12.01,842,840,11.31,147,948,17.23,14.98,17.23,17.23,17.23,17.23,3,96,75,245,87,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,75.00

4,5394.00,3,1.31,1.33,0.00,1,0,6060,102,-1,0,129,15.50,36,87,1,83,1,12.10,12.05,842,840,11.31,147,948,17.23,14.98,17.23,17.23,17.23,17.23,3,96,75,245,87,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,76.00

4,5209.00,3,1.35,1.35,0.00,1,0,5137,102,-1,0,140,13.00,35,87,1,83,1,12.13,12.08,842,840,10.22,142,948,17.23,14.98,17.23,17.23,17.23,17.23,3,96,75,245,87,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,78.00

4,5211.00,3,1.34,1.35,0.00,1,0,5137,102,6,6,140,13.00,35,87,1,83,1,11.94,11.90,866,864,10.22,142,948,17.23,14.98,17.23,17.23,17.23,17.23,3,96,75,272,92,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,78.00

4,5246.00,3,1.33,1.34,0.00,1,0,5137,102,6,6,140,13.00,35,87,1,83,1,12.15,12.10,866,864,10.22,142,948,17.23,14.98,17.23,17.23,17.23,17.23,3,96,75,272,92,0,0.00,0.00,0.00,0.00,0.00,0.00,0,7.00,79.00

